"game_id"	"game_dt"	"home_team_id"	"away_team_id"	"inn_ct"	"bat_home_id"	"outs_ct"	"balls_ct"	"strikes_ct"	"pitch_seq_tx"	"event_tx"	"away_score_ct"	"home_score_ct"	"bat_id"	"pit_id"
HOU201404030	"20140403"	HOU	NYA	3	0	1	3	2	BBCBCX	S7/G	0	1	suzui001	oberb001
HOU201404030	"20140403"	HOU	NYA	5	0	0	1	2	CSFBFX	"3/G"	2	1	suzui001	oberb001
HOU201404030	"20140403"	HOU	NYA	7	0	2	3	1	CBBBX	D7/L	3	2	suzui001	peacb001
HOU201404030	"20140403"	HOU	NYA	9	0	1	1	2	CB1FF1FC	K	4	2	suzui001	peacb001
TOR201404040	"20140404"	TOR	NYA	1	0	1	1	2	CBFS	K	2	0	suzui001	mcgod001
TOR201404040	"20140404"	TOR	NYA	3	0	2	3	2	FBCBFFF*BX	S4/G-/MREV.2-3	2	3	suzui001	mcgod001
TOR201404040	"20140404"	TOR	NYA	5	0	0	1	1	.BCX	S7/L	5	3	suzui001	redmt002
TOR201404040	"20140404"	TOR	NYA	7	0	1	0	1	CX	"43/G"	5	3	suzui001	cecib001
TOR201404040	"20140404"	TOR	NYA	9	0	2	0	0	X	S1/G-	6	3	suzui001	jeffj001
TOR201404060	"20140406"	TOR	NYA	2	0	0	1	2	BSFS	K	3	1	suzui001	hutcd001
TOR201404060	"20140406"	TOR	NYA	4	0	0	0	0	>C	SB2	3	1	suzui001	hutcd001
TOR201404060	"20140406"	TOR	NYA	4	0	0	0	2	>C.SS	K	3	1	suzui001	hutcd001
TOR201404060	"20140406"	TOR	NYA	6	0	0	1	2	CBFFX	S9/G	6	1	suzui001	redmt002
TOR201404060	"20140406"	TOR	NYA	8	0	0	2	2	.FCFFBFBS	K	6	4	suzui001	delas001
NYA201404080	"20140408"	NYA	BAL	9	1	0	2	2	...CBCFBFX	"43/G"	14	5	suzui001	odayd001
NYA201404110	"20140411"	NYA	BOS	2	1	2	1	2	CFBX	"53/G+"	0	1	suzui001	lestj001
NYA201404110	"20140411"	NYA	BOS	5	1	0	0	2	CCX	S14/G	0	1	suzui001	lestj001
NYA201404110	"20140411"	NYA	BOS	7	1	2	2	2	CBBCX	S9/L	4	1	suzui001	lestj001
NYA201404110	"20140411"	NYA	BOS	9	1	1	1	0	BX	"8/F"	4	2	suzui001	mujie001
NYA201404130	"20140413"	NYA	BOS	6	1	2	0	1	CX	"43/G"	2	3	suzui001	doubf001
NYA201404162	"20140416"	NYA	CHN	2	1	0	2	1	BBFX	S8/G	0	0	suzui001	woodt004
NYA201404162	"20140416"	NYA	CHN	4	1	0	1	2	BCFT	K	0	0	suzui001	woodt004
NYA201404162	"20140416"	NYA	CHN	5	1	1	3	2	CSBFBBX	"6/P"	0	1	suzui001	woodt004
NYA201404162	"20140416"	NYA	CHN	7	1	1	3	2	BB1FFB>X	S8/L.1-3	0	2	suzui001	rondh001
TBA201404170	"20140417"	TBA	NYA	2	0	0	0	0	X	"3/G-"	2	0	suzui001	pricd001
TBA201404170	"20140417"	TBA	NYA	4	0	1	2	2	CCBBX	"13/G"	4	0	suzui001	pricd001
TBA201404170	"20140417"	TBA	NYA	6	0	0	3	2	CBBFBFX	"63/G.2-3"	6	1	suzui001	bellh001
TBA201404170	"20140417"	TBA	NYA	7	0	2	1	2	BCSFC	K	8	1	suzui001	luekj001
TBA201404180	"20140418"	TBA	NYA	2	0	0	0	0	X	S5/BG/MREV.2-3	3	0	suzui001	bedae001
TBA201404180	"20140418"	TBA	NYA	4	0	1	0	1	FX	FC4.1X2(4E6);B-1	4	0	suzui001	bedae001
TBA201404180	"20140418"	TBA	NYA	6	0	1	2	2	FBBSX	"53/G"	4	2	suzui001	boxbb001
TBA201404180	"20140418"	TBA	NYA	8	0	2	1	0	BX	"13/G"	5	6	suzui001	peraj002
BOS201404220	"20140422"	BOS	NYA	2	0	0	1	2	CBFX	S8/L	2	0	suzui001	lestj001
BOS201404220	"20140422"	BOS	NYA	3	0	1	3	1	FBBBB	W	4	0	suzui001	lestj001
BOS201404220	"20140422"	BOS	NYA	5	0	1	2	2	BBFCS	K	4	2	suzui001	lestj001
BOS201404220	"20140422"	BOS	NYA	7	0	1	1	2	CBCX	D7/F	8	2	suzui001	capuc001
BOS201404220	"20140422"	BOS	NYA	9	0	1	0	1	FX	"43/G-.1-2"	9	2	suzui001	tazaj001
NYA201404250	"20140425"	NYA	ANA	8	1	2	1	2	CSFBFFX	"7!/L"	12	1	suzui001	friee001
NYA201404270	"20140427"	NYA	ANA	3	1	1	2	2	BFB.CT	K	0	0	suzui001	richg002
NYA201404270	"20140427"	NYA	ANA	3	1	1	1	1	BFB	WP.2-3	0	0	suzui001	richg002
NYA201404270	"20140427"	NYA	ANA	5	1	1	0	0	X	"63/G.3-H"	1	0	suzui001	richg002
NYA201404270	"20140427"	NYA	ANA	7	1	2	1	2	CBFX	"5/P"	2	2	suzui001	richg002
NYA201404290	"20140429"	NYA	SEA	2	1	2	1	2	CS1FBFX	"7/F"	0	1	suzui001	younc003
NYA201404290	"20140429"	NYA	SEA	4	1	2	3	1	BBBCB	W	0	2	suzui001	younc003
NYA201404290	"20140429"	NYA	SEA	7	1	0	3	1	.BCBBX	S8/G	6	2	suzui001	furbc001
NYA201404290	"20140429"	NYA	SEA	9	1	1	2	0	BBX	S8/L	6	2	suzui001	rodnf001
NYA201405010	"20140501"	NYA	SEA	9	1	2	2	0	.BBX	S9/G	4	2	suzui001	rodnf001
NYA201405020	"20140502"	NYA	TBA	11	1	2	1	0	.*B>C	DI.1-2	5	5	suzui001	bellh001
NYA201405020	"20140502"	NYA	TBA	11	1	2	3	2	.*B>C.BC*BX	"43/G-"	5	5	suzui001	bellh001
NYA201405030	"20140503"	NYA	TBA	3	1	1	2	2	CBCFBX	"9/L"	2	0	suzui001	odorj001
NYA201405030	"20140503"	NYA	TBA	5	1	0	1	2	CCBX	D8/L	3	2	suzui001	odorj001
NYA201405030	"20140503"	NYA	TBA	6	1	1	2	1	FBBX	"31/G"	3	4	suzui001	luekj001
NYA201405030	"20140503"	NYA	TBA	8	1	0	3	2	"1SBB11F1FBX"	D9/L.1-H	3	6	suzui001	bellh001
ANA201405050	"20140505"	ANA	NYA	3	0	1	1	1	BFX	"43/G"	0	0	suzui001	weavj003
